bikeid,fdpre,fname,ftype,length_m,facility2008,facility2009,facility2010,facility2011,facility2012,facility2013
181095,,I84,FWY,352.016667764816,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
136262,NE,GRAND,AVE,79.4145262219594,,,,,,
111883,NE,HALSEY,ST,79.2931519073905,,,,,,
121507,SW,MT ADAMS,DR,100.29300205472,,,,,,
124918,SW,52ND,AVE,27.3666285506064,,,,,,
129030,SW,60TH,AVE,155.167725378639,,,,,,
132385,,I5,FWY,267.88313528681,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
132573,,I5,FWY,117.684416981708,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
136422,NE,66TH,AVE,173.371310668661,,,,,,
136118,NE,BROADWAY,,57.9971350029544,,,,,,
132685,N,MISSISSIPPI,AVE,232.761368142112,,,,,,
132581,,I5,FWY,262.070090986986,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
150687,SW,COMUS,ST,46.6609030894662,,,,,,
181132,,,,65.5315517829973,,,,,,
181133,SW,23RD,AVE,34.8428830668409,,,,,,
181315,,,,121.468158726821,,,,,,
183173,,,,143.211569358616,,,,,,
184413,,,,130.503479360685,,,,,,
184821,N,HAYDEN BAY,DR,57.6382482409267,,,,,,
184922,SW,ORCHID,ST,10.8110721572202,,,,,,
186047,,,,43.0593073561744,,,,,,
186180,NW,FIRELANE 5,RD,119.093675975689,,,,,,
190360,SW,CAPITOL HWY-42ND AVE,ALY,66.9669099347171,,,,,,
191183,NW,SUMMITVIEW,DR,35.0794753290947,,,,,,
198098,SW,RIVER,PKWY,79.1667027157416,,,,,,
198974,,,,215.716595506914,,,,,,
198971,,,,80.309174143769,,,,,,
198973,,,,44.1320649271513,,,,,,
198970,,,,90.5729304942371,,,,,,
198972,,,,30.0475011100308,,,,,,
199018,,,,125.419700589069,,,,,,
704322,,,,10.7536322272522,,,,,,
755489,,,,20.0694936774079,,,,,,
758384,,,,30.2510232643385,,,,,,
758385,,,,53.7558573036306,,,,,,
901741736,,,,20.4404479650362,,,,,,
902184981,,KERR,PKWY,41.1863278808891,,,,,,
904705089,,,,5.66460445480375,,,,,PTH-LOMU,PTH-LOMU
901190763,,I5,FWY,5.69475554740418,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
907702277,,,,22.165680802623,OTH-XING,OTH-XING,OTH-XING,OTH-XING,OTH-XING,OTH-XING
190460,NW,SKYLINE,BLVD,224.446936669939,,,,,,
701150,,,,59.0973078985623,,,,,,
136091,NE,WEIDLER,ST,54.5544240259868,,,,,,
192093,NW,GILLIAM,LN,66.3604177240699,,,,,,
136097,NE,92ND,AVE,33.5817423319905,,,,,,
111942,NE,24TH,AVE,68.0564031491845,,,,,,
111770,NW,CORNELL,RD,26.1331563998144,,,,,,
701909,,,,12.537980213559,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU
738253,,,,84.5950432986916,,,,,,
182506,,JANTZEN BEACH CENTER,,57.5123583928536,,,,,,
701035,,,,18.7653442291495,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU
701193,,,,15.2803306152042,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU
719096,,,,152.784469812635,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU
199008,SE,HARNEY,ST,65.3782397472362,,,,,,
183567,SW,19TH,AVE,45.1890353897247,,,,,,
181275,SW,HEWETT,BLVD,349.905327646162,,,,,,
135358,,FREMONT,BRG,285.885166327326,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
140520,,MARQUAM,BRG,389.000419387489,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
140549,,MARQUAM,BRG,387.427980073948,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
181181,,FREMONT,BRG,32.0877654789092,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
181182,,FREMONT,BRG,32.7351794323914,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
135553,,FREMONT,BRG,59.4231028779358,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
181180,,FREMONT,BRG,38.7394384615637,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
135401,,FREMONT,BRG,282.978399973331,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
112020,NE,55TH,AVE,155.729828460772,,,,,,
136305,NE,50TH,AVE,153.8021244122,,,,,,
135993,NE,SCHUYLER,ST,198.924279250561,,,,,,
135968,NE,BROADWAY,,79.333609570018,,,,,,
196406,NW,LEIF ERIKSON,DR,187.555821695344,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
136109,NE,79TH,AVE,54.2525810245448,,,,,,
135983,NE,SCHUYLER,ST,85.0439550271886,,,,,,
136093,N,LARRABEE,AVE,87.9807845727989,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
700141,,,,69.2251666874881,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
700217,,,,71.9424273005096,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
700221,,,,543.039492115373,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
700243,,,,278.417681844144,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
135919,NE,WEIDLER,ST,79.2565212643104,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
136153,NE,I5 FWY-WEIDLER ST,RAMP,263.863139937496,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
111769,NE,153RD,PL,29.7585698416807,,,,,,
135932,NE,BROADWAY,,79.2953658114182,,,,,,
195143,N,FLINT,AVE,63.8744655818128,,,,,,
160196,N,WEIDLER,ST,38.3466189591173,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
135929,NE,BROADWAY,,185.898550749572,,,,,,
150400,NW,HILLCOURT,LN,42.7721618110539,,,,,,
183709,NW,CORNELL,RD,122.399219183023,,,,,,
150405,NW,BLUE POINTE,LN,70.2178386834808,,,,,,
150403,NW,PARKRIDGE,LN,141.995814536192,,,,,,
135921,NE,JONESMORE,ST,83.5547989644168,,,,,,
111713,NE,BROADWAY,,77.7241073224509,,,,,,
135831,NW,RALEIGH,ST,18.6868919921625,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
136017,NW,13TH,AVE,79.3708825875493,,,,,,
136015,NW,14TH,AVE,79.2479391743261,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
136011,NW,15TH,AVE,79.8688608477477,,,,,,
135844,NW,RALEIGH,ST,79.2506846920167,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
135994,NW,21ST,AVE,79.2477393766675,,,,,,
135822,NW,RALEIGH,ST,158.496677565017,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
112234,NE,143RD,AVE,359.405702539924,,,,,,
111719,NE,BROADWAY,,82.5865835850466,,,,,,
135815,NW,RALEIGH,ST,158.49647736142,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
135840,NW,RALEIGH,ST,11.3862509736809,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
111666,NW,RALEIGH,ST,154.64445574554,,,,,,
111816,NW,25TH,AVE,79.2479391743261,,,,,,
701328,,,,121.400603718903,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
111668,NW,RALEIGH,ST,156.257531432515,,,,,,
135922,NE,SANDY,BLVD,59.7532589574088,,,,,,
135942,NE,41ST,AVE,44.5400382131642,,,,,,
111799,NW,28TH,AVE,76.6445894909756,,,,,,
111665,NW,RALEIGH,ST,155.0732382625,,,,,,
112228,NE,142ND,AVE,359.835594423524,,,,,,
